kind,u_in,c_used,ratio_k2_est,k_est,k_SR,gamma_est,gamma_SR
chain,0.2,2.0,1.5,1.224744871391589,1.224744871391589,1.0206207261596576,1.0206207261596576
chain,0.4,2.0,2.333333333333333,1.5275252316519468,1.5275252316519468,1.091089451179962,1.0910894511799618
chain,0.6,2.0,4.0,2.0,2.0,1.25,1.25
ST_L6_path,0.2,1.1,1.5,1.224744871391589,1.224744871391589,1.0206207261596576,1.0206207261596576
ST_L6_path,0.4,1.1,2.3333333333333344,1.527525231651947,1.5275252316519468,1.091089451179962,1.0910894511799618
ST_L6_path,0.6,1.1,4.0,2.0,2.0,1.25,1.25
