u_in,k_est,k_SR,rel_err_k,gamma_est,gamma_SR,rel_err_gamma,u_est_from_k,abs_err_u
0.2,1.224744871391589,1.224744871391589,0.0,1.0206207261596576,1.0206207261596576,0.0,0.1999999999999999,-1.1102230246251565e-16
0.4,1.0,1.5275252316519468,-0.3453463292920229,1.0,1.0910894511799618,-0.0834848610088319,0.0,-0.4
0.6,1.0,2.0,-0.5,1.0,1.25,-0.19999999999999996,0.0,-0.6
