alpha,E,S,P
0.0,0.24439641533332462,1.939090816560381,0.1861463681294624
0.25,0.27596958509349256,2.209654802751757,0.14504342053861108
0.5,0.3131592087601513,2.6229997520412813,0.09799205521662617
0.75,0.3711283727840459,3.4432044317684944,0.04585274669242578
1.0,0.003004521485366384,4.602681352529555,0.010043274042854796
