A,B,MI_AB,cut_edges,mean_abs_C_cross,d_min
RED,YELLOW,0.16488759867599612,3,0.0022326060532500136,1
RED,GREEN,-0.0033290466745015124,0,9.372980674930115e-05,7
YELLOW,GREEN,-0.1585858191370697,1,0.0020160979861908925,1
