region,size,S,MI_A_Rest,mean_abs_C_intra
GREEN_L0,4,1.1932582410863959,2.3865164821727918,0.025511907825235908
"YELLOW_prefix(1,0)",63,30.20588254475559,60.41176508951118,0.007970002938837878
"RED_prefix(0,1,2,3)",4,1.8919580589869864,3.783916117973973,0.1250129126728014
