ell,count,S,MI_ell_Rest
0,4,1.1932582410863959,2.3865164821727918
1,6,4.124985247614648,8.249970495229295
2,24,16.49961225180921,32.99922450361842
3,96,65.98882352063606,131.97764704127212
4,384,198.43276206547603,396.86552413095205
