t,pbar,std_err,ds
1.000000000000000021e-03,9.940494212719280798e-01,2.659868069812936484e-05,1.752255749542313071e-02
1.416378040967938498e-03,9.915741712234042993e-01,2.926151289803952690e-05,1.752255749542313071e-02
2.006126754936177377e-03,9.880045186496739795e-01,4.309394780426752710e-05,2.471002754571719265e-02
2.841433883089870740e-03,9.830815913228202474e-01,5.684394146544562620e-05,3.416182789712596951e-02
4.024544556870757531e-03,9.763249178261980132e-01,1.067052391467658828e-04,4.893831272556411344e-02
5.700276535248783444e-03,9.664760794115909714e-01,1.284091899615907384e-04,6.930534493476014912e-02
8.073746511971180428e-03,9.530525506259842627e-01,1.299786785828494114e-04,9.770821013428990232e-02
1.143547726789747275e-02,9.341565472423584149e-01,2.475851755966631141e-04,1.373351741372239032e-01
1.619695889023802307e-02,9.085621244840745847e-01,3.069386478894515959e-04,1.946659112079168197e-01
2.294101690259358131e-02,8.729517263949189143e-01,4.582838809069389495e-04,2.720647784646946787e-01
3.249315257830787812e-02,8.264642967835091891e-01,5.635950366518566396e-04,3.852947975037676609e-01
4.602258779373603198e-02,7.633815769931688866e-01,7.330853099565102929e-04,5.512685208649746871e-01
6.518538273956682449e-02,6.821561063934914459e-01,7.265943146648760811e-04,7.347545489342012237e-01
9.232714470441298615e-02,5.911015264372228017e-01,1.074001581366980373e-03,1.005342060948837934e+00
1.307701403445998556e-01,4.807252984273229224e-01,1.514323025598481162e-03,1.405277621753039607e+00
1.852199551983868819e-01,3.624210008097898394e-01,1.733367353344479308e-03,1.823440185791164625e+00
2.623414772920605875e-01,2.548183953605511198e-01,1.879508189521548198e-03,2.318471509223472449e+00
3.715747076715636976e-01,1.616995168041326925e-01,1.037787557465943934e-03,2.906862565047871438e+00
5.262902565250843212e-01,9.263469226053813732e-02,1.301259718505201005e-03,3.357125305175471031e+00
7.454259625175126969e-01,5.025522880342970372e-02,8.712195036613766107e-04,3.443047362242891651e+00
1.055804964477195851e+00,2.794194085199335278e-02,8.730236110028690745e-04,3.556331118385098300e+00
1.495418967230434326e+00,1.457263256006285056e-02,5.491668511105721228e-04,3.517764899978556681e+00
2.118078587232140375e+00,8.211901631924325984e-03,4.471644339454703266e-04,3.427254507030064179e+00
3.000000000000000000e+00,4.419859575171897897e-03,3.581881677606599712e-04,3.427254507030064179e+00
