t,width
0.0,0.057903021030968435
0.20588235294117646,0.063060120820594
0.4117647058823529,0.07094966570327542
0.6176470588235294,0.07771566697023467
0.8235294117647058,0.08508249839712237
1.0294117647058822,0.09057235249883491
1.2352941176470589,0.09549114950867041
1.4411764705882353,0.10136338963455288
1.6470588235294117,0.10504810134365906
1.852941176470588,0.10737092991333752
2.0588235294117645,0.10889082903865543
2.264705882352941,0.10817162592513097
2.4705882352941178,0.10759672334507468
2.676470588235294,0.10808877652768327
2.8823529411764706,0.10876379714160017
3.0882352941176467,0.11017524406861182
3.2941176470588234,0.1111988731210578
3.5,0.11144085336563413
