distance,t_first_amp
1,0.02857142857142857
1,0.02857142857142857
1,0.02857142857142857
1,0.02857142857142857
1,0.02857142857142857
1,0.02857142857142857
2,0.22857142857142856
2,0.17142857142857143
2,0.17142857142857143
2,0.22857142857142856
2,0.17142857142857143
2,0.22857142857142856
3,0.5428571428571428
3,0.5714285714285714
3,0.5714285714285714
3,0.5714285714285714
3,0.5428571428571428
3,0.5714285714285714
4,1.0285714285714285
4,0.7999999999999999
4,0.7999999999999999
4,0.7999999999999999
4,0.7999999999999999
4,0.7999999999999999
5,2.4857142857142858
5,2.4857142857142858
5,2.4857142857142858
5,2.4857142857142858
5,2.4857142857142858
5,2.4857142857142858
6,3.4
6,3.0
6,3.0
6,3.4285714285714284
6,3.0
6,3.4285714285714284
7,4.742857142857143
7,4.657142857142857
7,4.657142857142857
7,4.6
7,4.685714285714286
7,4.685714285714286
8,12.914285714285715
8,5.285714285714286
8,5.285714285714286
8,5.428571428571429
8,5.371428571428571
8,5.428571428571429
