distance,t_first_otoc
1,0.05714285714285714
1,0.05714285714285714
1,0.05714285714285714
1,0.05714285714285714
1,0.05714285714285714
1,0.05714285714285714
2,0.2857142857142857
2,0.19999999999999998
2,0.19999999999999998
2,0.2857142857142857
2,0.19999999999999998
2,0.2857142857142857
3,0.6857142857142857
3,0.6857142857142857
3,0.6857142857142857
3,0.6857142857142857
3,0.6857142857142857
3,0.6857142857142857
4,1.3142857142857143
4,0.9428571428571428
4,0.9428571428571428
4,0.9142857142857143
4,0.9142857142857143
4,0.9142857142857143
5,2.8857142857142857
5,2.857142857142857
5,2.857142857142857
5,2.857142857142857
5,2.8857142857142857
5,2.857142857142857
6,9.542857142857143
6,3.342857142857143
6,3.342857142857143
6,9.657142857142857
6,3.3714285714285714
6,9.657142857142857
7,12.314285714285713
7,12.285714285714285
7,12.285714285714285
7,13.514285714285714
7,14.742857142857142
7,14.742857142857142
8,
8,13.028571428571428
8,13.028571428571428
8,
8,13.0
8,
